aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm
102,인왕산아이파크,11110-2212,0060,0000,2008,개인, , ,"115,000",18,1,2025,중개거래,서울 종로구,84.858,1,60,1,N,25.03.28,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동
 ,현대,11110-90,0082,0000,2000,개인, , ,"139,950",25,1,2025,중개거래,서울 종로구,114.9,9,82,1,N, ,통일로,00246,00020,3000008,06,11110,0,11110,개인,18700,무악동
102,창신쌍용1,11110-37,0702,0000,1992,개인, , ,"69,500",24,1,2025,중개거래,서울 종로구,79.87,2,702,1,N,25.02.26,동망산길,00019,00000,4100065,01,11110,0,11110,개인,17400,창신동
202,인왕산2차아이파크,11110-2417,0088,0000,2015,개인, , ,"111,500",19,1,2025,중개거래,서울 종로구,84.2427,2,88,1,N,25.04.01,통일로18길,00034,00000,4100482,01,11110,0,11110,개인,18700,무악동
이화에수풀,이화에수풀,11110-2359,0195,0010,2014,법인, , ,"17,700",14,1,2025,중개거래,서울 성북구,16.98,8,195-10,1,N,25.02.20,대학로,00047,00000,3100002,05,11110,0,11110,개인,16600,연건동
 ,인왕산아이파크,11110-2212,0060,0000,2008,개인,25.02.21,O,"115,000",18,1,2025,중개거래,서울 종로구,84.858,1,60,1,N, ,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동
 ,효성쥬얼리시티,11110-2155,0048,0002,2006,개인, , ,"63,000",23,1,2025,직거래, ,84.98,17,48-2,1,N,25.02.06,종로,00183,00000,3100013,09,11110,0,11110,개인,15700,인의동
105,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008,개인, , ,"183,000",31,1,2025,중개거래,서울 종로구,108.55,11,9,1,N,25.03.27,사직로8길,00004,00000,4100135,03,11110,0,11110,개인,11500,사직동
 ,아남1,11110-25,0004,0000,1995,개인, , ,"128,000",10,1,2025,중개거래,서울 종로구,84.9,17,4,1,N, ,창경궁로,00265,00000,3005008,07,11110,0,11110,개인,17100,명륜2가
 ,경희궁자이(3단지),11110-2446,0233,0000,2017,개인, , ,"200,000",31,1,2025,중개거래,서울 종로구,84.8359,5,233,1,N, ,경교장길,00035,00000,4100002,01,11110, ,11110,개인,17700,평동
